,t
371,2.05373887657067
372,2.05363754628755
373,2.05354950459595
374,2.05347481650728
375,2.05341354692225
376,2.05336575805914
377,2.05333150940459
378,2.0533108590229
379,2.05330386482165
380,2.05331058314559
381,2.05333106900988
382,2.05336537663933
383,2.05341355946734
384,2.0534756688132
385,2.05355175925333
386,2.05364188707146
387,2.053746108128
388,2.05386447422492
389,2.05399703571372
390,2.05414384386985
391,2.05430495133466
392,2.0544804123381
393,2.0546702827716
394,2.05487462185845
395,2.05509349171536
396,2.05532695463371
397,2.05557507303923
398,2.05583791140191
399,2.05611553482266
400,2.05640800729687
401,2.05671539208492
402,2.0570377525412
403,2.05737515284485
404,2.0577276565932
405,2.05809532584401
406,2.05847822114434
407,2.05887640255978
408,2.05928992812957
409,2.05971885378247
410,2.06016323487113
411,2.06062312494755
412,2.06109857546752
413,2.06158963628716
414,2.06209635607275
415,2.06261878191951
416,2.063156957677
417,2.06371092759927
418,2.06428073530393
419,2.0648664246192
420,2.06546803882058
421,2.06608561833759
422,2.06671920295748
423,2.06736883252209
424,2.06803454686713
425,2.0687163838606
426,2.0694143796563
427,2.07012856854838
428,2.07085898366802
429,2.07160565616011
430,2.07236861362211
431,2.07314788267177
432,2.07394349269093
433,2.0747554753023
434,2.07558386305224
435,2.07642868814724
436,2.07728998291965
437,2.07816777817837
438,2.07906210245955
439,2.07997298244094
440,2.08090044359306
441,2.08184451006807
442,2.08280520666633
443,2.08378255791129
444,2.08477658756596
445,2.08578731818919
446,2.08681477127021
447,2.08785896412516
448,2.08891991144338
449,2.08999762623736
450,2.09109211995609
451,2.09220340406434
452,2.09333148837324
453,2.09447637949207
454,2.09563808025965
455,2.09681659155539
456,2.09801191447511
457,2.09922404789943
458,2.10045298734812
459,2.10169872470773
460,2.10296124803801
461,2.10424054362899
462,2.10553659748091
463,2.10684939509143
464,2.10817891971259
465,2.10952515349555
466,2.11088807688594
467,2.1122676685258
468,2.11366390494058
469,2.1150767600119
470,2.1165062057183
471,2.11795221161842
472,2.11941474648559
473,2.12089377736537
474,2.12238927026157
475,2.12390118807282
476,2.12542949350534
477,2.12697414840623
478,2.12853511255009
479,2.13011234391296
480,2.13170580033429
481,2.13331544013191
482,2.13494122128722
483,2.13658310038318
484,2.13824103281749
485,2.13991497197749
486,2.14160487189989
487,2.14331068582133
488,2.14503236502203
489,2.14676985908711
490,2.14852311637026
491,2.15029208454625
492,2.15207671216277
493,2.15387694648224
494,2.15569273384399
495,2.1575240180029
496,2.15937074008679
497,2.16123283718676
498,2.1631102448927
499,2.16500289664045
500,2.16691072450602
501,2.16883365883484
502,2.17077163029468
503,2.17272456987258
504,2.17469240718853
505,2.17667507144456
506,2.17867249135459
507,2.18068459528236
508,2.1827113091349
509,2.18475255681948
510,2.1868082598344
511,2.18887833290402
512,2.19096268828921
513,2.19306123829431
514,2.19517389553515
515,2.19730057156387
516,2.19944117690456
517,2.20159562275004
518,2.20376381971614
519,2.20594567463309
520,2.20814109196621
521,2.21034997460229
522,2.21257222690624
523,2.21480775322758
524,2.21705645649742
525,2.21931823604864
526,2.22159298991717
527,2.22388061460205
528,2.22618100598776
529,2.22849406019028
530,2.23081967247658
531,2.23315773755019
532,2.23550815023995
533,2.23787080341063
534,2.24024559026047
535,2.24263240382917
536,2.24503113426904
537,2.24744166780706
538,2.24986389009934
539,2.25229768588882
540,2.25474293734529
541,2.25719952548975
542,2.25966733011793
543,2.26214623087315
544,2.26463610717466
545,2.2671368391308
546,2.26964830542794
547,2.2721703832581
548,2.27470294667665
549,2.27724586584451
550,2.27979900835493
551,2.28236224114615
552,2.28493543136419
553,2.28751844521056
554,2.29011114717859
555,2.29271339983451
556,2.29532506436921
557,2.29794600187341
558,2.30057607024397
559,2.30321512503362
560,2.3058630197406
561,2.30851960444264
562,2.31118472673064
563,2.31385823364278
564,2.31653997271353
565,2.31922978988391
566,2.32192752935124
567,2.32463303504943
568,2.32734614903096
569,2.33006671150559
570,2.33279456205826
571,2.33552954120866
572,2.33827148973748
573,2.3410202483393
574,2.34377565771833
575,2.34653755721508
576,2.34930578365717
577,2.352080169542
578,2.35486054547516
579,2.3576467410956
580,2.36043858569138
581,2.36323590620655
582,2.36603852684737
583,2.36884627078689
584,2.37165895696493
585,2.37447640113409
586,2.37729841778393
587,2.38012482241421
588,2.38295543048779
589,2.38579005541733
590,2.38862850742471
591,2.39147059509334
592,2.39431612516957
593,2.39716490357622
594,2.4000167352375
595,2.40287142521025
596,2.40572877796959
597,2.4085885971016
598,2.41145068363493
599,2.41431483611905
600,2.4171808517047
601,2.42004852542054
602,2.42291764842149
603,2.42578800811775
604,2.42865938989669
605,2.43153157773799
606,2.43440435493968
607,2.43727750464087
608,2.4401508104026
609,2.44302405593496
610,2.44589702287434
611,2.44876949180799
612,2.45164124167059
613,2.45451204830008
614,2.45738168753559
615,2.4602499364647
616,2.46311657381899
617,2.46598137892842
618,2.46884412974153
619,2.47170460399333
620,2.47456257809274
621,2.47741782892948
622,2.48027013369113
623,2.48311926768824
624,2.48596500566744
625,2.4888071241266
626,2.49164540129682
627,2.49447961739991
628,2.49730955450425
629,2.50013499451256
630,2.50295571707097
631,2.50577150139749
632,2.50858212625135
633,2.51138736853258
634,2.51418700368286
635,2.51698080415799
636,2.51976854348112
637,2.52254999561922
638,2.52532493305537
639,2.52809312593074
640,2.53085434098574
641,2.53360834362635
642,2.53635489803868
643,2.53909376761823
644,2.54182471631536
645,2.54454750760279
646,2.54726190350076
647,2.54996766515714
648,2.55266455037168
649,2.55535231625676
650,2.55803072035835
651,2.56069951944044
652,2.56335847176716
