,t
980,2.43
981,2.42
982,2.39
983,2.38
984,2.37
985,2.38
986,2.38
987,2.36
988,2.36
989,2.36
990,2.36
991,2.36
992,2.37
993,2.38
994,2.38
995,2.38
996,2.37
997,2.38
998,2.39
999,2.42
1000,2.46
1001,2.48
1002,2.49
1003,2.48
1004,2.45
1005,2.44
1006,2.43
1007,2.42
1008,2.38
1009,2.38
1010,2.41
1011,2.39
1012,2.38
1013,2.39
1014,2.39
1015,2.39
1016,2.39
1017,2.4
1018,2.4
1019,2.4
1020,2.39
1021,2.42
1022,2.43
1023,2.28
1024,2.37
1025,2.47
1026,2.38
1027,2.46
1028,2.45
1029,2.44
1030,2.44
1031,2.43
1032,2.41
1033,2.4
1034,2.4
1035,2.4
1036,2.4
1037,2.39
1038,2.37
1039,2.36
1040,2.35
1041,2.35
1042,2.34
1043,2.35
1044,2.35
1045,2.36
1046,2.38
1047,2.43
1048,2.47
1049,2.5
1050,2.52
1051,2.52
1052,2.52
1053,2.5
1054,2.48
1055,2.44
1056,2.38
1057,2.35
1058,2.33
1059,2.32
1060,2.31
1061,2.3
1062,2.29
1063,2.29
1064,2.29
1065,2.29
1066,2.28
1067,2.29
1068,2.3
1069,2.31
1070,2.3
1071,2.32
1072,2.35
1073,2.3
1074,2.32
1075,2.39
1076,2.39
1077,2.38
1078,2.35
1079,2.32
1080,2.3
1081,2.28
1082,2.28
1083,2.27
1084,2.27
1085,2.26
1086,2.25
1087,2.25
1088,2.25
1089,2.25
1090,2.26
1091,2.26
1092,2.23
1093,2.22
1094,2.22
1095,2.21
1096,2.22
1097,2.25
1098,2.27
1099,2.27
1100,2.29
1101,2.28
1102,2.25
1103,2.23
1104,2.21
1105,2.2
1106,2.17
1107,2.14
1108,2.12
1109,2.11
1110,2.1
1111,2.09
1112,2.09
1113,2.09
1114,2.1
1115,2.1
1116,2.11
1117,2.12
1118,2.14
1119,2.14
1120,2.18
1121,2.2
1122,2.23
1123,2.26
1124,2.27
1125,2.25
1126,2.22
1127,2.18
1128,2.15
1129,2.13
1130,2.12
1131,2.11
1132,2.1
1133,2.09
1134,2.1
1135,2.11
1136,2.12
1137,2.12
1138,2.12
1139,2.12
1140,2.14
1141,2.15
1142,2.16
1143,2.18
1144,2.21
1145,2.22
1146,2.22
1147,2.22
1148,2.21
1149,2.21
1150,2.2
1151,2.18
1152,2.16
1153,2.15
1154,2.15
1155,2.14
1156,2.14
1157,2.13
1158,2.13
1159,2.14
1160,2.14
1161,2.14
1162,2.16
1163,2.17
1164,2.16
1165,2.15
1166,2.16
1167,2.19
1168,2.16
1169,2.26
1170,2.28
1171,2.28
1172,2.28
1173,2.28
1174,2.26
1175,2.25
1176,2.2
1177,2.2
1178,2.22
1179,2.21
1180,2.2
1181,2.2
1182,2.21
1183,2.21
1184,2.21
1185,2.22
1186,2.23
1187,2.24
1188,2.21
1189,2.21
1190,2.23
1191,2.26
1192,2.3
1193,2.35
1194,2.37
1195,2.39
1196,2.41
1197,2.42
1198,2.41
1199,2.38
1200,2.34
1201,2.33
1202,2.32
1203,2.3
1204,2.29
1205,2.29
1206,2.29
1207,2.29
1208,2.29
1209,2.23
1210,2.32
1211,2.31
1212,2.3
1213,2.31
1214,2.34
1215,2.38
1216,2.42
1217,2.46
1218,2.47
1219,2.48
1220,2.5
1221,2.5
1222,2.49
1223,2.47
1224,2.43
1225,2.41
1226,2.4
1227,2.4
1228,2.4
1229,2.39
1230,2.39
1231,2.4
1232,2.42
1233,2.44
1234,2.29
1235,2.46
1236,2.47
1237,2.38
1238,2.46
1239,2.41
1240,2.53
1241,2.57
1242,2.59
1243,2.6
1244,2.6
1245,2.59
1246,2.57
1247,2.55
1248,2.52
1249,2.5
1250,2.5
1251,2.52
1252,2.53
1253,2.54
1254,2.55
1255,2.56
1256,2.55
1257,2.55
1258,2.53
1259,2.54
1260,2.54
1261,2.57
1262,2.59
1263,2.62
1264,2.66
1265,2.7
1266,2.72
1267,2.74
1268,2.76
1269,2.78
1270,2.79
1271,2.79
1272,2.79
1273,2.77
1274,2.73
1275,2.7
1276,2.68
1277,2.67
1278,2.66
1279,2.65
1280,2.66
1281,2.67
1282,2.66
1283,2.67
1284,2.68
1285,2.7
1286,2.72
1287,2.75
1288,2.77
1289,2.82
1290,2.87
1291,2.9
1292,2.94
1293,2.96
1294,2.95
1295,2.94
1296,2.91
1297,2.89
1298,2.88
1299,2.88
1300,2.87
1301,2.86
1302,2.87
1303,2.87
1304,2.87
1305,2.88
1306,2.88
1307,2.88
1308,2.88
1309,2.86
1310,2.88
1311,2.91
1312,2.95
1313,2.72
1314,3.0
1315,3.02
1316,2.44
1317,3.06
1318,3.08
1319,3.07
1320,3.05
1321,3.04
1322,3.02
1323,3.02
1324,3.02
1325,3.02
1326,3.01
1327,3.01
1328,3.01
1329,3.01
1330,3.02
1331,3.03
1332,3.03
1333,3.02
1334,3.04
1335,3.08
1336,3.13
1337,3.13
1338,3.16
1339,3.23
1340,3.24
1341,3.26
1342,3.27
1343,3.26
1344,3.24
1345,3.21
1346,3.13
1347,3.17
1348,3.17
1349,3.17
1350,3.17
1351,3.17
1352,3.18
1353,3.19
1354,3.2
1355,3.21
1356,3.21
1357,3.22
1358,3.23
1359,3.24
1360,3.25
1361,3.27
1362,3.3
1363,3.33
1364,3.36
1365,2.87
1366,3.39
1367,3.4
1368,3.4
1369,3.39
1370,3.38
1371,3.37
1372,3.37
1373,3.37
1374,3.37
1375,3.37
1376,3.39
1377,3.4
1378,3.36
1379,3.42
1380,3.43
1381,3.45
1382,3.48
1383,3.51
1384,3.55
1385,3.58
1386,3.62
1387,3.66
1388,3.68
1389,3.68
1390,3.67
1391,3.64
1392,3.58
1393,3.57
1394,3.59
1395,3.58
1396,3.58
1397,3.57
1398,3.57
1399,3.57
1400,3.58
1401,3.28
1402,3.53
1403,3.42
1404,3.61
